image,human,metric,Gemma3,JanusPro7B,Phi4,Qwen2_5_7B,SmolVLM,jyothi,prageetha
1.png,prageetha,METEOR,0.3056106936678068,0.3274442481551238,0.18929894392931917,0.3184919389769729,0.18325982357658382,0.21358009364358682,
1.png,jyothi,METEOR,0.31712631327602675,0.34056677947560937,0.3977508291873963,0.29393835552571707,0.21277901785714287,,0.33069255272407727
1.png,prageetha,BERTScore,0.633954644203186,0.7224224805831909,0.7282189130783081,0.7123786211013794,0.5202721357345581,0.66874098777771,
1.png,jyothi,BERTScore,0.5956637263298035,0.6677716374397278,0.7452656626701355,0.6222963929176331,0.4717351198196411,,0.66874098777771
10.png,prageetha,METEOR,0.20706455542021923,0.23181497663357578,0.20321865889212834,0.27497983140221444,0.1940586221925956,0.2173376903631543,
10.png,jyothi,METEOR,0.2701736638003709,0.24592638380760026,0.23273455837262902,0.22605184072126222,0.17350157728706625,,0.26754343629343635
10.png,prageetha,BERTScore,0.5757097601890564,0.6756772398948669,0.6515969634056091,0.6755216717720032,0.5578025579452515,0.6766992211341858,
10.png,jyothi,BERTScore,0.5905671119689941,0.6608262062072754,0.6456440687179565,0.6433666944503784,0.5719993114471436,,0.6766992211341858
11.png,prageetha,METEOR,0.1512455516014235,0.15815085158150854,0.2215007215007215,0.1792675372457248,0.12113055181695827,0.13736263736263737,
11.png,jyothi,METEOR,0.2318149766335758,0.24088878562904606,0.2433043295434329,0.3034360203994693,0.2312003290420023,,0.11554621848739495
11.png,prageetha,BERTScore,0.5178024172782898,0.6057906746864319,0.6265333890914917,0.5338501930236816,0.3942524492740631,0.5750263929367065,
11.png,jyothi,BERTScore,0.5299640893936157,0.5993695259094238,0.6070884466171265,0.5593371391296387,0.42107948660850525,,0.5750264525413513
12.png,prageetha,METEOR,0.20662344399124655,0.2118457583547558,0.1661437908496732,0.2317291410098522,0.1821977447172516,0.19411225968215357,
12.png,jyothi,METEOR,0.18072289156626506,0.37770917338709675,0.23569023569023567,0.27349427688953487,0.17363683127572016,,0.44489083119698564
12.png,prageetha,BERTScore,0.5459092259407043,0.6673502326011658,0.6688053607940674,0.6705363988876343,0.5224897265434265,0.7232552766799927,
12.png,jyothi,BERTScore,0.5222498178482056,0.6980465054512024,0.7026965022087097,0.674494206905365,0.4828876554965973,,0.7232552766799927
13.png,prageetha,METEOR,0.20385050962627407,0.211864406779661,0.14978601997146934,0.21992238033635186,0.22488038277511962,0.30314586810842103,
13.png,jyothi,METEOR,0.21314387211367672,0.17875920084121974,0.18324003909792622,0.25067880919181984,0.2171729511839717,,0.2404370287910299
13.png,prageetha,BERTScore,0.5511808395385742,0.6881929039955139,0.6435467600822449,0.6768351793289185,0.5374076962471008,0.7195871472358704,
13.png,jyothi,BERTScore,0.5547103881835938,0.6635459661483765,0.655439019203186,0.6786321997642517,0.5405123233795166,,0.7195871472358704
14.png,prageetha,METEOR,0.24217333135127098,0.2614071903019372,0.19509756323114624,0.18867924528301888,0.16574585635359118,0.32953200645508335,
14.png,jyothi,METEOR,0.28057060782137494,0.2726935098484525,0.23618142480047688,0.3041358465596873,0.24191445566179842,,0.20832483166700672
14.png,prageetha,BERTScore,0.5634945631027222,0.6891289949417114,0.6862586140632629,0.6520264148712158,0.653911292552948,0.6993372440338135,
14.png,jyothi,BERTScore,0.5779507756233215,0.7066305875778198,0.6721305251121521,0.679956316947937,0.6362743973731995,,0.6993372440338135
15.png,prageetha,METEOR,0.24698516913049787,0.19348268839103872,0.24444960633771817,0.2862414285761862,0.2221125370187562,0.21709826733059526,
15.png,jyothi,METEOR,0.30596498885137935,0.30381452943059006,0.25566159206241007,0.37902519924448325,0.2728624111089756,,0.25195702099879
15.png,prageetha,BERTScore,0.5850273370742798,0.6572473645210266,0.6564258337020874,0.6720098853111267,0.615925669670105,0.606939435005188,
15.png,jyothi,BERTScore,0.5650789141654968,0.6472862958908081,0.6541105508804321,0.6358899474143982,0.5912679433822632,,0.606939435005188
2.png,prageetha,METEOR,0.14333895446880268,0.2289819218685576,0.17699115044247787,0.23559278350515467,0.23224085365853664,0.22998255798108633,
2.png,jyothi,METEOR,0.20342320193349447,0.24410774410774413,0.20966090009524607,0.2535946843853821,0.28659463516009853,,0.18704146995589244
2.png,prageetha,BERTScore,0.5260778665542603,0.6207655668258667,0.6081691980361938,0.6283982396125793,0.6321277618408203,0.6335968971252441,
2.png,jyothi,BERTScore,0.5448539853096008,0.6619819402694702,0.6577727794647217,0.6569156050682068,0.6827125549316406,,0.6335968971252441
3.png,prageetha,METEOR,0.2797925105241421,0.21674787186379924,0.3548177083333333,0.33943566537500436,0.23353293413173656,0.15963759757952625,
3.png,jyothi,METEOR,0.210679605672309,0.23698496659242763,0.2725331248690018,0.27146131279794644,0.18072289156626506,,0.2113751558568994
3.png,prageetha,BERTScore,0.582697331905365,0.7072407603263855,0.6964224576950073,0.6276220083236694,0.6130637526512146,0.6601557731628418,
3.png,jyothi,BERTScore,0.5582888126373291,0.67988121509552,0.6462565064430237,0.5792223811149597,0.5625713467597961,,0.6601557731628418
4.png,prageetha,METEOR,0.2549147469930322,0.24636469420304,0.2307196060268068,0.23203592814371254,0.21680870917573877,0.28210174748016936,
4.png,jyothi,METEOR,0.1994301994301994,0.2921038533404764,0.29286123853211005,0.329162775345213,0.2313167259786477,,0.319098697969372
