image;prageetha;jyothi
1.png;sea,road,grass;water/sea,road,grass,dirt
2.png;farming land,road,dirt road, grass;green land,road,grass
3.png;water,road,green land ,dirt;water,road,grass,dirt
4.png;road, grass;roads, green land,grass
5.png;road, grass;road, grass
6.png;road, grass, green land;road, grass, green land
7.png;road, grass, green land;road, grass, green land
8.png;road, grass, green land;road, grass, green land, dirt
9.png;snow, road, grass, green land;water, road, grass, green land
10.png;road, grass, green land;road, grass, green land
11.png;water, grass, green land;road, grass, green land
12.png;dirt, grass;road, grass
13.png;road, grass, green land;road
14.png;dirt road, grass, green land;road, grass, green land
15.png;sea, road;water/sea,road
